"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1789266",-0.395015128776841,11.8626823002735,-5.22017649981913,8.85517707714532e-06,0.0418314100681453,3.4073187048192
"ILMN_2365549",0.295556371357537,11.7614938371221,5.0494471978103,1.47582265016923e-05,0.0418314100681453,2.96084155801734
"ILMN_2385220",0.46548543210704,10.6810306158521,4.89077686328984,2.36956188981114e-05,0.0418314100681453,2.54643799971688
"ILMN_1788053",-0.584856262106969,11.2216016275949,-4.87632450545419,2.47380505490712e-05,0.0418314100681453,2.50873632667088
"ILMN_1719392",-0.255575916934042,12.477226571611,-4.8396202884753,2.75945265283649e-05,0.0418314100681453,2.41302818911457
"ILMN_1659820",-0.49728910600456,9.50697127638403,-4.82161679415892,2.91129200217083e-05,0.0418314100681453,2.36610654536122
"ILMN_1763264",-0.292307375713041,10.1520837197712,-4.81744376034488,2.94765321599575e-05,0.0418314100681453,2.35523288997609
"ILMN_1789166",-0.541323506033505,9.11802234097318,-4.76809237751779,3.41337153236288e-05,0.042385541003116,2.22670886617095
"ILMN_1741156",-0.404092293989538,9.50445429218342,-4.68556161472621,4.36041877792221e-05,0.0481293334887547,2.01210284805615
"ILMN_1796235",-0.337300290988276,11.49123200249,-4.608014355206,5.48538180388591e-05,0.0514872114425021,1.8108895682225
"ILMN_1728540",-0.284083353980206,11.1312455804926,-4.59495302806482,5.70125619622889e-05,0.0514872114425021,1.77704552242802
"ILMN_2133360",0.244025761125905,14.6732795492009,4.56549044271113,6.21951416659981e-05,0.0514872114425021,1.70075603345971
"ILMN_1805737",-0.412853852713144,13.1415696848926,-4.44777586705488,8.79648954208677e-05,0.0594446862604355,1.39675269134165
"ILMN_1665547",-0.438311824350284,11.8866097237744,-4.43147638164262,9.22783448085235e-05,0.0594446862604355,1.35476911264766
"ILMN_1785202",-0.954767277780391,10.6480750228224,-4.40165651777028,0.000100715935384791,0.0594446862604355,1.27803591265168
"ILMN_1802628",-0.330749937964313,9.45080013681449,-4.37239977988511,0.000109731273691633,0.0594446862604355,1.20285036734653
"ILMN_2165463",-1.02272368940343,10.9853777573442,-4.35308318882397,0.000116114281168282,0.0594446862604355,1.15326509458359
"ILMN_1697585",-0.254609027083753,12.0805056239278,-4.34388373559483,0.000119281260120654,0.0594446862604355,1.1296662459635
"ILMN_2120210",-0.438545813963704,13.5473367658322,-4.33081755064956,0.000123925934835156,0.0594446862604355,1.09616630920292
"ILMN_1749213",0.535413385801105,10.8923310979223,4.31986882501498,0.00012795454017362,0.0594446862604355,1.06811178753191
